s_1	s_2	s_3	s_4	s_5	s_11	s_12	s_13	s_14	s_15	s_21	s_22	s_23	s_24	s_25	s_31	s_32	s_33	s_34	s_35	s_41	s_42	s_43	s_44	s_45	s_51	s_52	s_53	s_54	s_55
2-Hydroxyoctanoic Acid_iso2	-0.316269185810007	0.532446038217842	0.328798790615719	-0.269130623017906	-0.181757609533663	0.54114118847973	0.0566629181763552	-1.09287868059009	-0.548643658276298	1.187459428041	0.738759790912805	-0.977196719136201	-0.976263820341547	0.397207302329458	-0.836900017531257	-0.73770184950713	-0.201795198366734	-0.606092588760867	-0.694267649418113	0.0694270158907244	-0.324378885890825	-0.610420969309873	0.433659711014111	0.162496096426092	-0.689670527328351	0.0736160849625716	-0.869804246984029	-0.924936874718023	-0.121354220848947	0.629144190129257
2-Hydroxybutyrate_iso1	-0.220153479466173	0.2111818475548	-1.02280181412001	0.0779981844922907	-0.135007442315953	0.286009513258734	0.927884874541535	0.452395594710712	0.479854854124445	0.189758339952093	1.42671198688928	1.22541487213092	0.508791998121497	0.0603331298347172	-0.104337630179259	0.005555968148148	-0.774970501732424	0.395462959109031	-0.822629462402779	1.79743513733167	0.61805152177974	1.35502828394604	-0.932082966410301	0.145833408513418	0.601467598866471	-0.24892943856096	-0.0203648194413645	0.122691589469556	-0.207149960788348	-0.193397975349953
1-Methyladenosine	0.493803636243335	-0.0377185078124578	-0.102756560054737	-0.0418882723374157	-0.899643026304581	0.254596025848324	-0.244853649298949	0.494605165381323	0.165996807643423	-0.725230014050241	1.56658455045232	0.920479395283767	0.14195290405617	0.494350619337664	0.16529834932249	0.990537752258769	-0.416700466913288	-0.0951352297480506	-0.478249037023568	0.68260652030884	-0.683679407594679	-0.0191533535579937	0.177524707492054	-0.140302885350056	0.756483701960636	0.173129075706125	-0.487902852597781	0.349192579287593	0.308583820659072	0.736788942513053
Glutamine_iso1	0.525993163561032	0.0392708422274546	-0.0742152833837061	0.539754017918364	1.05544457185846	0.385317378251864	-0.580364831973012	0.0485105418756855	-0.795470949373096	0.20312843830048	0.642856757554236	0.0773594453849329	-0.182270102209194	-0.162794259377996	-0.305645009886192	0.0280689844623442	-0.114660832892387	-0.316171417347689	-0.193678747953021	-0.835602846997492	0.000190342061624585	0.017292351154945	0.867087437158067	1.31143376730122	0.44951378253049	-0.517198102422397	0.299828650129387	0.00486345574967851	0.0146339166286373	-0.427528685833119
Ethylmalonate	0.151639092038966	-0.407452819985956	0.284436017389907	1.35065768960338	0.572194048370149	0.444812704133623	-0.0947738193854458	-0.483870851333684	0.333681208966329	-0.106836955283183	0.803960185255054	-0.272398474346702	-0.205771783708429	0.289699194498572	0.430473556656507	0.92399355748617	-0.726518474734382	0.204814975488806	3.0911027862098	-0.929214637508127	-0.188190555771425	0.313706730288777	0.892234202676037	0.256470581296998	0.573130422813	-0.143620864781306	0.37200060263766	1.25358296382218	-0.147309910467568	-0.148602992180942
Docosapentaenoic Acid	4.26641044548265	3.36925346618232	0.291157090150378	2.53710622446518	-0.07299422582633	1.69250882289312	-2.38427396658011	3.74074182281341	0.141858113902413	-0.342195093610997	0.323192458154776	1.20369618597545	1.06452416314541	1.42345520085917	-2.15509308127762	0.914179959217	-2.03230977903129	0.422666388733889	-0.513486949636239	-1.28051871595924	-0.195495490400896	-0.695555167139894	1.34748186452876	-0.200660310076478	-0.464418031077138	0.704088564653045	-0.287044949348707	-0.852772897628039	-0.551041672604655	-1.41773269963119
Deoxycholate	1.33998837846838	-0.529026947446055	0.700525966440783	-0.623676269254126	0.49200918651438	0.847600611945107	-0.3328637664522	-0.064000368344321	0.598854538502457	-0.589003573227271	-0.0184845338932238	0.43916984326446	0.28042614702395	0.0118198348260405	0.0296587009344166	0.43781197257145	0.353863789480615	-0.266976892079103	0.109274956419108	0.667918012422751	-0.234779722125879	0.366297104804177	0.547073837682981	-0.13050516317513	1.13319334453678	0.523392285524864	0.362555067540776	-0.57804676282596	-1.00783864685841	0.25246697610262
Phenylalanine	0.284529578958447	-0.330696470343011	-0.138293394838495	0.207793670713122	0.194724789795961	-0.199661002640094	-0.134356540654529	-0.119858319714068	0.235546546223119	-0.111015364653064	-0.11733002999034	-0.135433713708961	0.311027215449542	0.0342797214518249	0.53710462225672	-0.261558251410501	-0.278523900191969	-0.578233249879099	-0.0495051057817441	-0.522173420448464	-0.390302009831671	-0.142918441866584	0.54866501323212	0.336129342346604	0.0187523325607722	-0.240921255343114	-0.0650048323627064	0.54649551205469	0.152430801982412	-0.170803869243178
Palmitate	1.30865491611503	1.63564894704288	-0.483875065801164	3.80006577063902	1.71851072793392	1.31131569355902	-1.01286760318202	2.07897616829604	-0.689155834054841	0.0934559640350707	2.88522344759963	1.71679952614816	0.224452098106027	1.58322913495176	-2.38378334413382	1.84252164023755	-1.32607939303072	1.08554567918316	-0.349474914013166	0.372472626963894	1.72124945504696	-0.738409343553414	-1.78545215172828	-0.847354876069289	0.354454013392051	0.155248240042386	2.02648084413777	-0.525350580813825	-0.96094816824533	-1.91087951450764
Oleic Acid	1.47451472336598	1.8606775983673	-0.494259276805136	3.26308831359685	0.726079945106723	1.42642985254731	-0.928877904161559	2.09505244364105	-0.614981908107114	-0.0108886527481512	2.21505445274448	1.72732763045057	0.425792498862411	1.26214325829791	-2.60828666743176	1.76477616809258	-1.21898843250876	0.795073426383569	-0.706995457537508	0.136602821319818	1.08949400196468	-0.382642947203814	-1.17225803560055	-0.826789649128506	0.279138350035285	0.0470760656376623	1.106899194623	-0.834937087473569	-1.17652424966762	-1.52824845657166
Nervonate	0.63513703289408	0.868505964503077	0.797241527044447	1.25238802751559	1.0342075591409	0.934707156274324	-0.816022041998421	0.636851719652544	-0.703450416842561	0.138657968556664	0.246843065309544	1.40656372904556	0.469637862175252	0.213654874773012	-1.32141965700938	-1.36881305125003	0.0316401519304092	0.246522316351587	-0.225529873370754	0.0597776579669259	1.7612341159114	-1.23447997039394	-1.03770376319684	-0.129883295819732	0.855877853611118	0.222218109856499	0.120750876168516	-0.615444833760786	-0.422231090815836	-1.554304984969
Creatinine	0.61797817314879	-0.690671463154355	0.318100276469852	0.280933290141669	-0.132846458728714	0.810718547409484	-0.608030990363332	-0.392496218063057	-0.571673689081416	0.199209129891721	-0.499276865543781	0.721196957084614	0.400825293023846	0.065459395646134	-0.298871238282071	-0.37297727820638	-0.303202910463497	-0.0729614064253565	-0.744280337305741	-0.749654900214275	-0.188186887114359	0.159129934471251	1.44355996752667	1.44313104444272	0.54507847327481	-0.330828731259101	-0.796210368184322	-0.0299858204903462	-0.33719732289019	-0.801012378418431
Indoxyl Sulfate_iso2	-0.839996635847282	-0.549045849825738	-0.969688281052324	0.351546779146889	0.407418935496403	-0.0433136314030116	0.0933701627062696	-0.155179678703636	-0.880389580431292	0.583492887886689	0.635984805726519	0.240526823689868	-1.12408386013954	-0.127729449858169	0.378777948557336	0.139375121746785	-0.717059978730897	-0.647083030851747	0.70631189528409	-0.833545616220903	-0.557831370467687	-0.730736455925007	0.145480524291735	-0.0638727385678604	-0.49469864012866	-0.0171502672158468	0.0379800120630611	0.551219491465111	0.299079300920051	0.783978702491571
